organism,obis_recs_raw,obis_recs_with_year,obis_recs_with_depth,obis_recs_with_temp_match
Ahnfeltia plicata,4067,3917,3500,2535
Alaria esculenta,3700,3443,2648,2119
Anomia simplex,383,135,110,107
Anurida maritima,2168,2138,1963,1843
Ascophyllum nodosum,10377,9094,8164,7516
Asterias forbesi,1238,799,115,105
Asterias rubens,61741,59314,32542,30839
Astyris lunata,2864,2102,532,492
Bangia atropurpurea,278,225,165,158
Bonnemaisonia hamifera,4038,3922,2608,2267
Boreochiton ruber,850,712,436,410
Botrylloides violaceus,2958,1244,1235,1115
Botryllus schlosseri,13926,12435,7640,7269
Bugula neritina,1157,763,661,621
Cancer borealis,24985,7258,182,177
Cancer irroratus,33809,11985,2640,1387
Carcinus maenas,114047,110748,98315,47877
Celleporella hyalina,1893,1737,1029,977
Ceramium virgatum,18601,18365,14835,7455
Chondrus crispus,22042,21550,19271,14962
Chorda filum,21091,20497,19348,14406
Chordaria flagelliformis,1912,1863,1619,767
Cladophora rupestris,16297,16142,15305,11069
Cladostephus spongiosus,6188,4483,4142,4017
Clathromorphum circumscriptum,75,54,0,0
Codium fragile,1981,1404,1256,931
Colpomenia peregrina,1661,1341,1288,1266
Colus stimpsoni,498,439,10,8
Corallina officinalis,22282,20708,16878,11090
Crepidula fornicata,14050,13114,7891,7443
Crisia eburnea,2343,2277,841,813
Cryptosula pallasiana,1479,1235,942,837
Cystoclonium purpureum,6062,6001,4924,3764
Devaleraea ramentacea,339,282,208,101
Diadumene lineata,872,587,529,378
Didemnum vexillum,741,192,189,174
Dumontia contorta,3580,3464,3258,3067
Dynamena pumila,5033,4896,4439,4248
Elachista fucicola,7189,7078,6866,4902
Electra pilosa,19934,19588,11849,11100
Erythrotrichia carnea,623,432,315,299
Euthora cristata,268,138,53,52
Flustrellidra hispida,2106,2045,1882,1841
Fucus distichus,3830,748,526,366
Fucus spiralis,7516,7202,6686,6193
Fucus vesiculosus,45559,43970,42611,29516
Hemigrapsus sanguineus,836,574,500,318
Henricia sanguinolenta,3331,2914,867,773
Hiatella arctica,12085,10759,4560,4349
Hildenbrandia rubra,14225,13984,11987,9546
Hincksia granulosa,176,156,146,139
Idotea balthica,8462,8278,7154,5912
Lacuna vincta,3072,2626,1821,1720
Leathesia marina,4309,3437,2287,2015
Littorina littorea,18387,17176,15201,14222
Littorina obtusata,6653,6151,5537,5084
Littorina saxatilis,14527,13938,11975,10874
Mastocarpus stellatus,9926,9680,8769,8437
Membranipora membranacea,11257,10563,6545,6081
Metridium senile,10725,10309,5047,4507
Microporella ciliata,3876,3598,1296,1294
Micrura affinis,6,NA,NA,NA
Modiolus modiolus,8315,7734,4140,3786
Mya arenaria,45796,44752,30288,23096
Mytilus edulis,109140,107191,80833,57328
Nemalion elminthoides,513,462,424,390
Nucella lapillus,33258,32745,31003,26820
Ostrea edulis,1245,1135,634,595
Pagurus acadianus,1743,1576,63,40
Palmaria palmata,9879,9700,8176,7599
Petalonia fascia,1004,802,635,557
Phymatolithon lenormandii,3801,3758,3586,3459
Plumaria plumosa,2918,2880,2503,2356
Prasiola stipitata,523,486,403,358
Protectocarpus speciosus,10,NA,NA,NA
Pterothamnion plumula,4488,4446,2281,1978
Ptilota serrata,434,291,12,0
Pylaiella littoralis,6924,6655,6144,5147
Rhizoclonium tortuosum,416,266,171,164
Saccharina latissima,26083,21812,16372,12783
Saccorhiza dermatodea,455,421,390,200
Schizoporella unicornis,610,436,193,185
Scytosiphon lomentaria,2102,1784,1491,1320
Semibalanus balanoides,16727,16250,14008,13124
Skeneopsis planorbis,1100,946,786,741
Sphacelaria cirrosa,2705,2642,2252,979
Spongomorpha aeruginosa,590,555,466,405
Strongylocentrotus droebachiensis,12056,9982,1475,693
Testudinalia testudinalis,2972,2609,2177,1878
Thelepus cincinnatus,4124,3963,980,941
Ulva intestinalis,7965,7359,7030,5387
Ulva lactuca,13426,11350,9930,9486
Vertebrata lanosa,3632,3385,3089,2875
